,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
9056,21,20004,RENT,4.0,MEDICAL,A,4500,8.0,0,0.22,N,2
9057,26,49000,MORTGAGE,10.0,DEBTCONSOLIDATION,E,13000,16.45,1,0.27,N,3
9058,32,29000,OWN,0.0,PERSONAL,A,2000,8.49,0,0.07,N,8
9059,25,73248,MORTGAGE,5.0,HOMEIMPROVEMENT,B,12000,11.11,1,0.16,N,4
9060,23,60000,MORTGAGE,4.0,EDUCATION,A,13000,6.91,0,0.22,N,2
9061,22,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6400,7.29,0,0.13,N,4
9062,41,65500,MORTGAGE,12.0,VENTURE,A,3000,10.99,0,0.05,N,15
9063,24,113676,MORTGAGE,8.0,EDUCATION,A,7200,6.99,0,0.06,N,2
9064,24,100896,RENT,7.0,HOMEIMPROVEMENT,D,15000,14.42,0,0.15,N,2
9065,32,160000,MORTGAGE,2.0,MEDICAL,B,3200,10.99,0,0.02,N,5
9066,29,100000,MORTGAGE,0.0,EDUCATION,C,12025,13.49,0,0.12,N,9
9067,42,45000,OWN,0.0,VENTURE,A,5000,7.43,0,0.11,N,12
9068,29,36000,RENT,5.0,PERSONAL,C,10000,10.99,0,0.28,Y,6
9069,43,57000,MORTGAGE,0.0,EDUCATION,A,2725,10.99,0,0.05,N,12
9070,22,36000,RENT,4.0,EDUCATION,D,8000,15.33,0,0.22,N,2
9071,31,52000,RENT,0.0,VENTURE,A,8000,7.51,0,0.15,N,5
9072,24,65544,OWN,4.0,EDUCATION,B,5000,10.74,0,0.08,N,2
9073,27,104525,MORTGAGE,11.0,HOMEIMPROVEMENT,A,6000,7.4,0,0.06,N,8
9074,24,30000,RENT,0.0,MEDICAL,B,8850,10.99,0,0.29,N,4
9075,26,15600,RENT,5.0,DEBTCONSOLIDATION,A,5000,5.99,1,0.32,N,3
9076,24,65000,OWN,8.0,EDUCATION,A,9000,7.29,0,0.14,N,4
9077,24,135000,RENT,4.0,HOMEIMPROVEMENT,C,24000,13.79,0,0.18,N,2
9078,23,52800,MORTGAGE,7.0,EDUCATION,B,2625,11.71,0,0.05,N,3
9079,21,36662,OWN,4.0,VENTURE,B,18000,10.25,0,0.49,N,4
9080,23,37344,MORTGAGE,0.0,EDUCATION,C,3200,12.68,0,0.09,N,4
9081,22,25000,OWN,1.0,EDUCATION,A,11100,9.63,0,0.44,N,3
9082,28,58800,MORTGAGE,11.0,VENTURE,A,5500,6.76,0,0.09,N,9
9083,25,38014,MORTGAGE,4.0,HOMEIMPROVEMENT,A,10000,8.49,0,0.26,N,3
9084,22,92700,MORTGAGE,1.0,VENTURE,A,9250,7.9,0,0.1,N,3
9085,58,68000,MORTGAGE,1.0,PERSONAL,B,8000,10.99,0,0.12,N,29
9086,38,70000,MORTGAGE,16.0,EDUCATION,A,17000,6.03,0,0.24,N,13
9087,26,175000,RENT,2.0,EDUCATION,B,17000,9.88,0,0.1,N,2
9088,21,45000,RENT,5.0,VENTURE,A,10000,6.62,0,0.22,N,4
9089,25,93000,MORTGAGE,9.0,VENTURE,D,12000,16.77,0,0.13,Y,4
9090,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2
9091,33,135000,OWN,0.0,PERSONAL,B,17500,11.83,0,0.13,N,8
9092,33,23400,RENT,13.0,VENTURE,B,5000,12.69,0,0.21,N,10
9093,26,50000,OWN,4.0,HOMEIMPROVEMENT,C,10000,13.47,0,0.2,Y,2
9094,26,81600,RENT,10.0,MEDICAL,D,8000,16.29,1,0.08,Y,3
9095,23,43236,OWN,1.0,VENTURE,C,18000,12.87,0,0.42,N,2
9096,25,31500,RENT,2.0,VENTURE,B,1500,10.99,0,0.05,N,4
9097,28,16800,OWN,5.0,EDUCATION,B,5000,9.88,1,0.3,N,7
9098,25,57000,MORTGAGE,5.0,VENTURE,C,7250,10.59,0,0.13,N,4
9099,29,61656,RENT,4.0,PERSONAL,A,15000,6.91,0,0.24,N,9
9100,31,42500,RENT,3.0,MEDICAL,A,6500,7.29,0,0.15,N,10
9101,22,54000,MORTGAGE,3.0,PERSONAL,A,9000,7.51,0,0.17,N,3
9102,24,70000,MORTGAGE,8.0,VENTURE,A,6000,7.88,0,0.09,N,3
9103,24,54000,RENT,8.0,MEDICAL,C,1500,14.17,0,0.03,Y,2
9104,23,48000,OWN,6.0,EDUCATION,B,5000,10.08,0,0.1,N,3
9105,28,62000,RENT,3.0,DEBTCONSOLIDATION,C,9300,11.72,0,0.15,Y,5
9106,27,72000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,10000,7.9,0,0.14,N,7
9107,26,155142,MORTGAGE,6.0,HOMEIMPROVEMENT,D,23000,18.25,0,0.15,N,2
9108,26,37000,RENT,2.0,VENTURE,A,2500,7.14,0,0.07,N,3
9109,22,41340,RENT,6.0,VENTURE,D,14000,17.49,1,0.34,N,3
9110,27,180000,RENT,4.0,PERSONAL,B,8000,10.37,0,0.04,N,5
9111,26,80000,OWN,5.0,PERSONAL,C,7000,13.22,0,0.09,Y,2
9112,23,20124,RENT,4.0,DEBTCONSOLIDATION,C,5950,13.49,0,0.3,Y,3
9113,29,59000,RENT,3.0,DEBTCONSOLIDATION,B,6000,10.37,0,0.1,N,7
9114,28,51500,RENT,2.0,DEBTCONSOLIDATION,D,20000,15.65,1,0.39,Y,8
9115,22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4
9116,25,80000,RENT,8.0,VENTURE,C,4500,13.06,0,0.06,N,2
9117,24,40000,RENT,8.0,MEDICAL,C,4500,12.84,0,0.11,N,3
9118,23,83000,RENT,3.0,MEDICAL,A,10000,6.54,0,0.12,N,3
9119,28,140000,MORTGAGE,12.0,MEDICAL,B,15000,8.88,0,0.11,N,5
9120,27,100000,RENT,7.0,MEDICAL,B,14000,10.62,0,0.14,N,8
9121,29,110000,MORTGAGE,0.0,VENTURE,A,15000,8.94,0,0.14,N,7
9122,25,54000,RENT,2.0,PERSONAL,C,24250,13.98,1,0.45,N,4
9123,24,69600,RENT,8.0,PERSONAL,B,4900,9.99,0,0.07,N,2
9124,24,38000,OWN,0.0,VENTURE,C,8500,13.11,0,0.22,N,2
9125,21,36000,MORTGAGE,5.0,MEDICAL,B,1000,12.42,0,0.03,N,2
9126,33,86000,MORTGAGE,5.0,VENTURE,D,15000,16.49,0,0.17,Y,9
9127,23,44400,RENT,0.0,VENTURE,B,1500,11.63,0,0.03,N,4
9128,46,56000,MORTGAGE,1.0,MEDICAL,A,6000,10.99,0,0.11,N,13
9129,22,72000,MORTGAGE,4.0,PERSONAL,D,15000,16.32,0,0.21,Y,4
9130,23,90000,RENT,1.0,MEDICAL,B,7000,10.65,0,0.08,N,2
9131,34,37000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,4400,10.99,0,0.12,N,5
9132,31,85000,RENT,5.0,EDUCATION,C,16000,11.34,0,0.19,Y,8
9133,34,120000,RENT,9.0,HOMEIMPROVEMENT,D,7500,16.29,0,0.06,N,5
9134,40,32878,RENT,6.0,HOMEIMPROVEMENT,C,13775,12.98,1,0.42,N,11
9135,30,74000,OWN,13.0,MEDICAL,B,10500,10.74,0,0.14,N,8
9136,25,100000,MORTGAGE,3.0,MEDICAL,A,12000,5.79,0,0.12,N,2
9137,23,74000,RENT,6.0,MEDICAL,B,12000,12.53,0,0.16,N,4
9138,28,52000,RENT,0.0,HOMEIMPROVEMENT,C,12000,13.35,0,0.23,N,5
9139,28,24000,RENT,4.0,PERSONAL,C,3000,15.23,0,0.13,Y,7
9140,28,90000,RENT,0.0,VENTURE,A,7200,5.42,0,0.08,N,5
9141,23,34482,RENT,7.0,PERSONAL,B,7000,10.99,0,0.2,N,4
9142,23,36000,RENT,7.0,PERSONAL,B,12250,10.99,1,0.34,N,3
9143,24,156000,MORTGAGE,8.0,PERSONAL,B,15000,10.25,0,0.1,N,2
9144,26,48000,RENT,0.0,MEDICAL,C,12000,11.66,0,0.25,N,3
9145,37,85000,MORTGAGE,2.0,VENTURE,A,5600,5.42,0,0.07,N,13
9146,22,74000,RENT,7.0,DEBTCONSOLIDATION,D,24250,15.65,1,0.33,Y,2
9147,21,18996,RENT,0.0,DEBTCONSOLIDATION,A,6000,10.99,1,0.32,N,4
9148,25,36000,RENT,2.0,PERSONAL,C,4000,13.61,0,0.11,Y,3
9149,24,65000,RENT,1.0,MEDICAL,B,6400,9.99,0,0.1,N,3
9150,21,24000,RENT,1.0,PERSONAL,E,2000,18.39,1,0.08,Y,3
9151,32,44808,RENT,5.0,PERSONAL,B,12000,10.99,0,0.27,N,8
9152,24,120000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,8400,13.72,0,0.07,Y,2
9153,29,24000,OWN,11.0,VENTURE,A,10000,5.79,0,0.42,N,7
9154,24,114000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,9.76,0,0.13,N,3
9155,25,90000,RENT,5.0,PERSONAL,A,10000,7.49,0,0.11,N,2
9156,23,83000,MORTGAGE,0.0,VENTURE,D,20000,14.54,0,0.24,Y,4
9157,22,41600,RENT,0.0,EDUCATION,C,2400,12.22,0,0.06,Y,2
9158,33,60000,OWN,4.0,VENTURE,C,10000,13.98,0,0.17,N,7
9159,30,61000,RENT,4.0,HOMEIMPROVEMENT,C,7600,10.99,0,0.12,Y,6
9160,32,62000,RENT,6.0,MEDICAL,B,6000,10.99,0,0.1,N,5
9161,36,47500,MORTGAGE,8.0,DEBTCONSOLIDATION,A,2700,5.79,0,0.06,N,14
9162,27,50600,RENT,9.0,VENTURE,B,12000,9.91,0,0.24,N,7
9163,24,42000,RENT,4.0,EDUCATION,A,10200,7.49,0,0.24,N,4
9164,25,46000,RENT,5.0,EDUCATION,B,7000,10.25,0,0.15,N,3
9165,24,25000,RENT,4.0,VENTURE,C,2400,13.8,0,0.1,Y,4
9166,25,74004,RENT,2.0,PERSONAL,E,20000,15.95,1,0.27,Y,4
9167,23,60000,MORTGAGE,6.0,VENTURE,A,10000,5.42,0,0.17,N,4
9168,26,135000,RENT,10.0,MEDICAL,B,5000,11.36,0,0.04,N,4
9169,37,40000,OWN,1.0,VENTURE,B,15000,11.48,0,0.38,N,14
9170,30,42000,RENT,4.0,MEDICAL,C,10000,16.11,0,0.24,N,9
9171,30,30000,RENT,11.0,MEDICAL,B,1000,10.99,1,0.03,N,10
9172,49,60000,OWN,7.0,PERSONAL,C,7000,10.99,0,0.12,N,13
9173,24,32000,RENT,1.0,MEDICAL,A,5000,10.99,0,0.16,N,3
9174,34,36000,RENT,3.0,VENTURE,C,3600,13.49,0,0.1,Y,7
9175,22,30000,RENT,0.0,HOMEIMPROVEMENT,B,5000,8.88,1,0.17,N,3
9176,30,106000,MORTGAGE,11.0,VENTURE,F,10000,10.99,0,0.09,N,9
9177,29,90000,MORTGAGE,13.0,DEBTCONSOLIDATION,B,10000,12.21,0,0.11,N,7
9178,22,36000,RENT,4.0,PERSONAL,B,10000,11.36,1,0.28,N,2
9179,31,72000,MORTGAGE,6.0,MEDICAL,A,9800,6.62,0,0.14,N,7
9180,28,42000,RENT,9.0,EDUCATION,A,2500,8.49,0,0.06,N,8
9181,45,125000,MORTGAGE,14.0,PERSONAL,B,10000,10.99,0,0.08,N,12
9182,31,60000,RENT,5.0,HOMEIMPROVEMENT,A,12000,7.49,0,0.2,N,10
9183,22,55000,RENT,6.0,EDUCATION,A,5000,6.91,0,0.09,N,2
9184,26,41682,MORTGAGE,7.0,DEBTCONSOLIDATION,C,18000,13.22,1,0.43,Y,3
9185,31,44960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,5000,10.95,1,0.11,N,10
9186,34,90000,MORTGAGE,19.0,DEBTCONSOLIDATION,C,5000,13.61,0,0.06,N,7
9187,23,33359,RENT,2.0,EDUCATION,A,9000,10.99,1,0.27,N,4
9188,26,38000,RENT,4.0,MEDICAL,B,8000,12.69,0,0.21,N,4
9189,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4
9190,40,80004,MORTGAGE,15.0,EDUCATION,A,9500,7.51,0,0.12,N,12
9191,27,39000,RENT,1.0,MEDICAL,B,9000,10.08,0,0.23,N,8
9192,21,30000,RENT,1.0,EDUCATION,C,6000,13.16,1,0.2,Y,4
9193,22,48000,RENT,2.0,DEBTCONSOLIDATION,B,5000,11.89,0,0.1,N,4
9194,42,29000,RENT,3.0,MEDICAL,A,3450,8.0,0,0.12,N,17
9195,27,122000,RENT,3.0,PERSONAL,C,15000,12.73,0,0.12,N,5
9196,28,65000,OWN,0.0,HOMEIMPROVEMENT,B,1450,9.76,0,0.02,N,6
9197,29,14400,RENT,2.0,VENTURE,B,1400,11.49,0,0.1,N,6
9198,25,63996,RENT,2.0,VENTURE,B,8500,11.89,0,0.13,N,4
9199,24,42500,RENT,9.0,PERSONAL,B,12000,11.36,0,0.28,N,2
9200,22,52000,RENT,3.0,PERSONAL,C,12000,13.57,0,0.23,Y,2
9201,25,105000,MORTGAGE,9.0,VENTURE,C,4800,15.23,0,0.05,Y,2
9202,22,44000,RENT,4.0,PERSONAL,D,4500,14.46,1,0.1,Y,2
9203,26,36000,RENT,2.0,PERSONAL,D,4000,14.54,1,0.11,N,2
9204,29,89000,RENT,2.0,PERSONAL,A,7200,10.99,0,0.08,N,10
9205,25,105000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,12000,10.99,0,0.11,N,2
9206,35,123000,RENT,2.0,HOMEIMPROVEMENT,E,25000,17.19,1,0.2,N,6
9207,31,36400,MORTGAGE,0.0,VENTURE,D,8000,14.46,0,0.22,N,9
9208,34,70000,RENT,1.0,DEBTCONSOLIDATION,B,6000,11.89,0,0.09,N,7
9209,30,66000,MORTGAGE,4.0,VENTURE,A,12000,7.51,0,0.18,N,10
9210,23,76268,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000,11.89,1,0.2,N,2
9211,22,58000,RENT,6.0,EDUCATION,B,3000,11.83,0,0.05,N,2
9212,29,90000,MORTGAGE,13.0,DEBTCONSOLIDATION,A,6000,6.03,0,0.07,N,5
9213,23,55000,OWN,7.0,VENTURE,B,1000,11.49,0,0.02,N,4
9214,70,30000,RENT,0.0,DEBTCONSOLIDATION,D,1000,17.49,1,0.03,Y,21
9215,22,38000,RENT,2.0,EDUCATION,C,1500,13.22,0,0.04,Y,2
9216,37,105000,MORTGAGE,2.0,EDUCATION,B,25000,12.18,0,0.24,N,15
9217,26,36000,MORTGAGE,10.0,VENTURE,A,9000,5.42,0,0.25,N,4
9218,27,58000,RENT,5.0,DEBTCONSOLIDATION,A,5900,9.32,0,0.1,N,7
9219,25,60000,RENT,3.0,VENTURE,D,7000,15.62,0,0.12,N,4
9220,27,107000,MORTGAGE,2.0,EDUCATION,A,10800,9.63,0,0.1,N,5
9221,31,51000,RENT,4.0,EDUCATION,B,6625,10.38,0,0.13,N,10
9222,22,76800,MORTGAGE,3.0,DEBTCONSOLIDATION,A,6000,6.62,0,0.08,N,4
9223,24,90996,MORTGAGE,0.0,EDUCATION,B,8400,10.99,0,0.09,N,2
9224,34,30144,MORTGAGE,3.0,EDUCATION,C,18000,12.84,0,0.6,Y,10
9225,35,54000,OWN,4.0,MEDICAL,A,6000,6.62,0,0.11,N,5
9226,42,40000,RENT,0.0,PERSONAL,D,10000,16.0,1,0.25,N,12
9227,22,30000,RENT,3.0,PERSONAL,B,3000,11.12,0,0.1,N,3
9228,22,40800,MORTGAGE,7.0,EDUCATION,C,17050,10.99,0,0.42,Y,2
9229,22,61500,RENT,3.0,EDUCATION,C,10000,14.22,0,0.16,N,2
9230,42,64464,MORTGAGE,13.0,MEDICAL,E,30000,19.03,1,0.4,N,17
9231,24,25632,MORTGAGE,4.0,EDUCATION,B,1500,9.91,0,0.06,N,3
9232,24,65000,RENT,8.0,MEDICAL,B,15000,9.88,0,0.23,N,2
9233,23,28000,RENT,0.0,DEBTCONSOLIDATION,B,3000,10.25,0,0.11,N,4
9234,31,80000,RENT,1.0,EDUCATION,C,8000,12.61,0,0.1,Y,7
9235,24,45792,RENT,3.0,DEBTCONSOLIDATION,B,17000,10.38,1,0.37,N,2
9236,23,98400,MORTGAGE,7.0,EDUCATION,A,9000,6.62,0,0.09,N,4
9237,26,95000,MORTGAGE,10.0,HOMEIMPROVEMENT,C,15000,15.96,0,0.16,N,3
9238,33,26100,RENT,16.0,PERSONAL,B,5000,10.75,0,0.19,N,6
9239,40,110000,RENT,0.0,EDUCATION,B,20000,10.38,0,0.18,N,16
9240,26,44000,MORTGAGE,4.0,PERSONAL,B,11500,9.63,1,0.26,N,3
9241,28,72000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,12000,6.92,0,0.17,N,7
9242,27,33600,OWN,1.0,PERSONAL,B,21250,8.88,0,0.63,N,6
9243,28,67386,MORTGAGE,11.0,HOMEIMPROVEMENT,A,1500,6.91,0,0.02,N,6
9244,23,75000,RENT,7.0,PERSONAL,B,12000,12.53,0,0.16,N,3
9245,26,48000,RENT,5.0,MEDICAL,A,7000,5.79,0,0.15,N,3
9246,34,150000,MORTGAGE,5.0,VENTURE,B,15000,11.86,0,0.1,N,9
9247,31,38970,MORTGAGE,4.0,MEDICAL,C,5750,12.68,0,0.15,Y,7
9248,23,57600,RENT,5.0,MEDICAL,C,7500,13.85,0,0.13,N,3
9249,25,89016,MORTGAGE,9.0,MEDICAL,A,4500,10.99,0,0.05,N,3
9250,24,25040,MORTGAGE,1.0,VENTURE,A,5000,5.79,0,0.2,N,4
9251,37,185000,MORTGAGE,15.0,VENTURE,B,4000,10.0,0,0.02,N,11
9252,25,83004,MORTGAGE,9.0,DEBTCONSOLIDATION,A,5000,6.76,0,0.06,N,3
9253,29,52000,MORTGAGE,12.0,MEDICAL,A,5000,5.42,0,0.1,N,7
9254,28,63000,MORTGAGE,0.0,EDUCATION,D,5000,13.67,0,0.08,Y,7
9255,23,75000,OWN,7.0,EDUCATION,B,15000,11.14,0,0.2,N,4
9256,22,21600,RENT,0.0,MEDICAL,A,1200,5.99,0,0.06,N,2
9257,33,48000,OWN,5.0,VENTURE,B,14400,12.42,0,0.3,N,10
9258,32,37050,RENT,2.0,DEBTCONSOLIDATION,A,8000,8.0,0,0.22,N,6
9259,35,28000,OWN,3.0,VENTURE,A,7600,6.62,0,0.27,N,10
9260,32,59506,OWN,13.0,VENTURE,D,8000,16.07,0,0.13,N,7
9261,27,55000,RENT,11.0,MEDICAL,B,8000,11.83,0,0.15,N,9
9262,29,62532,RENT,6.0,PERSONAL,C,9000,13.49,0,0.14,N,9
9263,29,55400,RENT,2.0,HOMEIMPROVEMENT,C,7000,10.28,0,0.13,Y,6
9264,27,100000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,5000,8.07,0,0.05,N,10
9265,37,70000,RENT,3.0,EDUCATION,B,4900,12.18,0,0.07,N,15
9266,26,78000,MORTGAGE,8.0,PERSONAL,C,12000,13.43,0,0.15,N,4
9267,35,65004,RENT,2.0,DEBTCONSOLIDATION,A,6000,7.29,0,0.09,N,10
9268,26,37000,RENT,0.0,PERSONAL,B,14000,9.88,1,0.38,N,4
9269,28,60000,RENT,3.0,DEBTCONSOLIDATION,A,19200,7.88,1,0.32,N,8
9270,27,38004,RENT,5.0,EDUCATION,C,15000,12.73,1,0.39,N,10
9271,26,36000,OWN,4.0,PERSONAL,B,15000,10.25,0,0.42,N,2
9272,36,55000,RENT,5.0,VENTURE,A,7000,6.92,0,0.13,N,16
9273,30,26400,RENT,14.0,DEBTCONSOLIDATION,C,3250,14.35,1,0.12,N,9
9274,22,80000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,1500,10.37,0,0.02,N,4
9275,26,85200,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,6.03,0,0.09,N,4
9276,27,44630,OWN,10.0,VENTURE,B,10825,10.99,0,0.24,N,6
9277,22,60000,RENT,3.0,EDUCATION,D,18000,16.32,0,0.3,N,4
9278,33,93000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,13000,7.51,0,0.14,N,6
9279,27,37000,RENT,7.0,MEDICAL,B,8400,9.91,0,0.23,N,7
9280,34,75000,MORTGAGE,14.0,MEDICAL,B,10000,11.11,0,0.13,N,10
9281,29,200000,MORTGAGE,4.0,MEDICAL,A,12000,7.88,0,0.06,N,7
9282,36,60000,MORTGAGE,2.0,VENTURE,C,8000,13.92,0,0.13,Y,14
9283,30,65000,RENT,11.0,PERSONAL,D,12800,15.2,0,0.2,N,6
9284,25,47052,RENT,5.0,EDUCATION,B,21250,10.99,1,0.45,N,2
9285,20,32652,MORTGAGE,0.0,PERSONAL,D,6000,14.61,1,0.18,N,4
9286,26,54000,RENT,0.0,PERSONAL,D,13200,14.91,1,0.24,Y,2
9287,29,50000,OWN,8.0,VENTURE,B,9725,12.12,0,0.19,N,7
9288,23,111150,MORTGAGE,1.0,DEBTCONSOLIDATION,A,10000,8.0,0,0.09,N,3
9289,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2
9290,22,90000,RENT,6.0,MEDICAL,B,10200,11.71,0,0.11,N,3
9291,22,20000,OWN,7.0,PERSONAL,B,3200,12.21,0,0.16,N,4
9292,27,32000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,4500,9.99,1,0.14,N,8
9293,28,73000,RENT,0.0,PERSONAL,B,32000,11.99,1,0.44,N,9
9294,25,26453,MORTGAGE,6.0,MEDICAL,B,7200,11.71,1,0.27,N,4
9295,26,89000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,8000,10.99,0,0.09,N,3
9296,35,67000,MORTGAGE,10.0,PERSONAL,A,3300,7.88,0,0.05,N,6
9297,29,48000,MORTGAGE,3.0,EDUCATION,B,9000,11.99,0,0.19,N,5
9298,21,40000,MORTGAGE,5.0,PERSONAL,A,5000,6.62,0,0.13,N,2
9299,26,75000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,6500,8.9,0,0.09,N,4
9300,24,28000,RENT,0.0,MEDICAL,A,5000,7.68,0,0.18,N,3
9301,26,87800,MORTGAGE,5.0,EDUCATION,A,12000,5.79,0,0.14,N,4
9302,21,40000,MORTGAGE,5.0,MEDICAL,A,9000,7.51,0,0.23,N,4
9303,22,60000,RENT,0.0,EDUCATION,C,12000,13.47,0,0.2,Y,3
9304,29,30000,RENT,8.0,MEDICAL,C,7000,13.35,0,0.23,Y,10
9305,40,21600,RENT,2.0,HOMEIMPROVEMENT,D,3000,14.09,1,0.14,Y,13
9306,46,35004,RENT,0.0,PERSONAL,C,4500,12.68,0,0.13,N,13
9307,22,70000,MORTGAGE,6.0,EDUCATION,A,6800,10.99,0,0.1,N,4
9308,42,50000,MORTGAGE,5.0,EDUCATION,B,7000,10.99,0,0.14,N,12
9309,24,86250,RENT,1.0,HOMEIMPROVEMENT,B,9000,12.69,0,0.1,N,2
9310,26,63180,OWN,4.0,HOMEIMPROVEMENT,C,5825,13.43,0,0.09,Y,2
9311,27,36000,MORTGAGE,5.0,PERSONAL,A,5000,10.99,0,0.14,N,10
9312,53,46000,OWN,9.0,PERSONAL,B,4925,11.71,0,0.11,N,23
9313,29,66000,RENT,4.0,VENTURE,A,10000,7.9,0,0.15,N,6
9314,23,60000,MORTGAGE,6.0,PERSONAL,A,7000,6.54,0,0.12,N,2
9315,23,39000,RENT,7.0,MEDICAL,A,12300,10.99,1,0.32,N,2
9316,24,30000,RENT,1.0,VENTURE,C,9500,13.92,1,0.32,N,2
9317,28,20000,RENT,4.0,PERSONAL,D,4000,14.59,0,0.2,N,9
9318,23,99000,MORTGAGE,8.0,EDUCATION,A,1800,7.88,0,0.02,N,2
9319,25,52000,RENT,2.0,VENTURE,C,6000,12.87,0,0.12,Y,4
9320,22,38000,RENT,0.0,EDUCATION,C,3000,10.28,0,0.08,N,3
9321,35,75000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,9000,5.79,0,0.12,N,9
9322,36,49000,RENT,6.0,HOMEIMPROVEMENT,B,7000,10.74,1,0.14,N,16
9323,26,120000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6000,10.99,0,0.05,N,2
9324,21,42000,OWN,5.0,VENTURE,B,12250,8.88,0,0.29,N,4
9325,27,72000,MORTGAGE,6.0,MEDICAL,A,17000,6.03,0,0.24,N,6
9326,25,39500,RENT,2.0,MEDICAL,A,10000,5.99,0,0.25,N,2
9327,31,95000,MORTGAGE,1.0,HOMEIMPROVEMENT,C,13200,12.99,0,0.14,Y,8
9328,23,40000,MORTGAGE,7.0,MEDICAL,A,4000,7.51,0,0.1,N,2
9329,24,29000,RENT,4.0,PERSONAL,B,2500,10.99,0,0.09,N,3
9330,26,122500,RENT,1.0,MEDICAL,B,10000,10.65,0,0.08,N,3
9331,23,42240,MORTGAGE,3.0,EDUCATION,C,5500,12.73,0,0.13,N,3
9332,24,60500,RENT,2.0,PERSONAL,D,5600,14.91,1,0.09,N,3
9333,25,125000,MORTGAGE,6.0,MEDICAL,A,8000,9.63,0,0.06,N,2
9334,26,37000,RENT,0.0,VENTURE,A,6825,7.49,0,0.18,N,2
9335,24,115000,MORTGAGE,8.0,EDUCATION,B,15000,11.48,0,0.13,N,3
9336,28,70356,MORTGAGE,12.0,EDUCATION,B,6000,11.11,0,0.09,N,5
9337,22,60000,RENT,0.0,EDUCATION,C,14000,12.73,0,0.23,N,2
9338,25,13440,RENT,3.0,MEDICAL,A,6000,7.49,1,0.45,N,3
9339,26,33192,MORTGAGE,4.0,PERSONAL,B,3000,12.69,1,0.09,N,4
9340,22,60000,MORTGAGE,5.0,VENTURE,B,20000,12.21,0,0.33,N,3
9341,24,60000,MORTGAGE,8.0,EDUCATION,A,10000,6.03,0,0.17,N,3
9342,25,134300,RENT,3.0,MEDICAL,D,5000,16.49,1,0.03,N,2
9343,24,71000,OWN,4.0,HOMEIMPROVEMENT,A,10000,5.79,0,0.14,N,3
9344,23,65000,MORTGAGE,1.0,EDUCATION,E,15000,14.5,0,0.23,N,4
9345,37,45000,RENT,1.0,PERSONAL,B,9000,11.71,1,0.2,N,12
9346,28,43000,MORTGAGE,12.0,HOMEIMPROVEMENT,C,12000,13.48,0,0.28,N,6
9347,28,90000,MORTGAGE,5.0,VENTURE,B,25000,11.86,0,0.28,N,6
9348,30,16000,MORTGAGE,2.0,MEDICAL,A,7275,5.42,1,0.45,N,10
9349,36,31200,RENT,9.0,PERSONAL,B,3000,12.42,0,0.1,N,12
9350,22,44307,RENT,6.0,HOMEIMPROVEMENT,B,10000,11.36,1,0.23,N,2
9351,22,47000,MORTGAGE,7.0,PERSONAL,C,10600,15.96,0,0.23,Y,4
9352,51,45000,RENT,2.0,MEDICAL,C,8400,13.11,0,0.19,Y,18
9353,21,50350,RENT,3.0,EDUCATION,A,3600,7.88,0,0.07,N,3
9354,21,33168,MORTGAGE,6.0,PERSONAL,B,6425,9.63,0,0.19,N,3
9355,27,110000,OWN,0.0,VENTURE,D,25000,16.32,0,0.23,Y,7
9356,22,65100,RENT,3.0,EDUCATION,E,6000,16.2,0,0.09,N,4
9357,24,45000,RENT,0.0,EDUCATION,D,4000,15.99,1,0.09,Y,3
9358,35,100000,RENT,3.0,PERSONAL,A,12000,7.88,0,0.12,N,6
9359,22,42000,RENT,6.0,PERSONAL,B,3000,11.49,0,0.07,N,2
9360,24,75000,RENT,2.0,MEDICAL,B,2000,9.99,0,0.03,N,2
9361,22,75000,MORTGAGE,3.0,EDUCATION,A,9000,5.79,0,0.12,N,2
9362,29,35500,MORTGAGE,3.0,DEBTCONSOLIDATION,A,4000,7.88,0,0.11,N,6
9363,27,30000,RENT,3.0,DEBTCONSOLIDATION,A,13000,7.88,1,0.43,N,8
